# [해상] 출처: 한국무역협회(KITA) | 시장 평균 해상운임(Ocean Freight), 부산발 | 부대비용 별도 / 이용 선사·물동량·결제조건에 따라 상이 | 운임 업로드: 매월 첫째 주 | 단위: USD
분류,출발(도시),도착(국가),도착(도시),년,월,TEU,FEU,단위(USD-해상),100kg,300kg,500kg,단위(USD-항공),업데이트 일자
해상,Busan,북미,Long Beach,2025,01,3700.0,4600.0,USD,,,,,2026-05-24
해상,Busan,북미,Long Beach,2024,12,3800.0,4700.0,USD,,,,,2026-05-24
해상,Busan,북미,Long Beach,2024,11,2800.0,3500.0,USD,,,,,2026-05-24
해상,Busan,북미,Long Beach,2024,10,4200.0,5200.0,USD,,,,,2026-05-24
해상,Busan,북미,Long Beach,2024,09,4400.0,5150.0,USD,,,,,2026-05-24
해상,Busan,북미,Long Beach,2024,08,6000.0,7450.0,USD,,,,,2026-05-24
해상,Busan,북미,Long Beach,2024,07,6500.0,7850.0,USD,,,,,2026-05-24
해상,Busan,북미,Long Beach,2024,06,6750.0,7500.0,USD,,,,,2026-05-24
해상,Busan,북미,Long Beach,2024,05,5050.0,6500.0,USD,,,,,2026-05-24
해상,Busan,북미,Long Beach,2024,04,2862.0,3450.0,USD,,,,,2026-05-24
해상,Busan,북미,Long Beach,2024,03,3650.0,4550.0,USD,,,,,2026-05-24
해상,Busan,북미,Long Beach,2024,02,4500.0,5800.0,USD,,,,,2026-05-24
해상,Busan,북미,Long Beach,2024,01,4000.0,5000.0,USD,,,,,2026-05-24
해상,Busan,북미,Long Beach,2023,12,1600.0,2000.0,USD,,,,,2026-05-24
해상,Busan,북미,Long Beach,2023,11,1650.0,2050.0,USD,,,,,2026-05-24
해상,Busan,북미,Long Beach,2023,10,1350.0,1700.0,USD,,,,,2026-05-24
해상,Busan,북미,Long Beach,2023,09,1400.0,1850.0,USD,,,,,2026-05-24
해상,Busan,북미,Long Beach,2023,08,1700.0,2200.0,USD,,,,,2026-05-24
해상,Busan,북미,Long Beach,2023,07,1150.0,1600.0,USD,,,,,2026-05-24
해상,Busan,북미,Long Beach,2023,06,850.0,1200.0,USD,,,,,2026-05-24
해상,Busan,북미,Long Beach,2023,05,1000.0,1300.0,USD,,,,,2026-05-24
해상,Busan,북미,Long Beach,2023,04,950.0,1200.0,USD,,,,,2026-05-24
해상,Busan,북미,Long Beach,2023,03,1000.0,1325.0,USD,,,,,2026-05-24
해상,Busan,북미,Long Beach,2023,02,1120.0,1400.0,USD,,,,,2026-05-24
해상,Busan,북미,Long Beach,2023,01,1120.0,1400.0,USD,,,,,2026-05-24
해상,Busan,북미,Long Beach,2022,12,1200.0,1500.0,USD,,,,,2026-05-24
해상,Busan,북미,Long Beach,2022,11,1215.0,1700.0,USD,,,,,2026-05-24
해상,Busan,북미,Long Beach,2022,10,1860.0,2300.0,USD,,,,,2026-05-24
해상,Busan,북미,Long Beach,2022,09,2720.0,3400.0,USD,,,,,2026-05-24
해상,Busan,북미,Long Beach,2022,08,5200.0,6500.0,USD,,,,,2026-05-24
해상,Busan,북미,Long Beach,2022,07,6400.0,8000.0,USD,,,,,2026-05-24
해상,Busan,북미,Long Beach,2022,06,8400.0,10500.0,USD,,,,,2026-05-24
해상,Busan,북미,Long Beach,2022,05,8800.0,11000.0,USD,,,,,2026-05-24
해상,Busan,북미,Long Beach,2022,04,13800.0,15000.0,USD,,,,,2026-05-24
해상,Busan,북미,Long Beach,2022,03,13800.0,15000.0,USD,,,,,2026-05-24
해상,Busan,북미,Long Beach,2022,02,13800.0,15400.0,USD,,,,,2026-05-24
해상,Busan,북미,Long Beach,2022,01,13800.0,15000.0,USD,,,,,2026-05-24
해상,Busan,북미,Long Beach,2021,12,13000.0,14000.0,USD,,,,,2026-05-24
해상,Busan,북미,Long Beach,2021,11,7900.0,9200.0,USD,,,,,2026-05-24
해상,Busan,북미,Long Beach,2021,10,7900.0,9200.0,USD,,,,,2026-05-24
해상,Busan,북미,Long Beach,2021,09,7900.0,9200.0,USD,,,,,2026-05-24
해상,Busan,북미,Long Beach,2021,08,7500.0,8700.0,USD,,,,,2026-05-24
해상,Busan,북미,Long Beach,2021,07,0.0,0.0,USD,,,,,2026-05-24
해상,Busan,북미,Long Beach,2021,06,0.0,0.0,USD,,,,,2026-05-24
해상,Busan,북미,Long Beach,2021,05,0.0,0.0,USD,,,,,2026-05-24
해상,Busan,북미,Long Beach,2021,04,3440.0,4300.0,USD,,,,,2026-05-24
해상,Busan,북미,Long Beach,2021,03,3440.0,4300.0,USD,,,,,2026-05-24
해상,Busan,북미,Long Beach,2021,02,3440.0,4300.0,USD,,,,,2026-05-24
해상,Busan,북미,Long Beach,2021,01,3440.0,4300.0,USD,,,,,2026-05-24
해상,Busan,북미,Long Beach,2020,12,3200.0,4000.0,USD,,,,,2026-05-24
해상,Busan,북미,Long Beach,2020,11,3160.0,3950.0,USD,,,,,2026-05-24
해상,Busan,북미,Long Beach,2020,10,3210.0,4012.0,USD,,,,,2026-05-24
해상,Busan,북미,Long Beach,2020,09,3286.0,4116.0,USD,,,,,2026-05-24
해상,Busan,북미,Long Beach,2020,08,2880.0,3600.0,USD,,,,,2026-05-24
해상,Busan,북미,Long Beach,2020,07,2440.0,2880.0,USD,,,,,2026-05-24
해상,Busan,북미,Long Beach,2020,06,1900.0,2300.0,USD,,,,,2026-05-24
해상,Busan,북미,Long Beach,2020,05,1360.0,1700.0,USD,,,,,2026-05-24
해상,Busan,북미,Long Beach,2020,04,1320.0,1650.0,USD,,,,,2026-05-24
해상,Busan,북미,Long Beach,2020,03,1320.0,1650.0,USD,,,,,2026-05-24
해상,Busan,북미,Long Beach,2020,02,1280.0,1600.0,USD,,,,,2026-05-24
해상,Busan,북미,Long Beach,2020,01,1280.0,1600.0,USD,,,,,2026-05-24
해상,Busan,북미,Long Beach,2019,12,1280.0,1600.0,USD,,,,,2026-05-24
해상,Busan,북미,Long Beach,2019,11,1360.0,1700.0,USD,,,,,2026-05-24
해상,Busan,북미,Long Beach,2019,10,1200.0,1450.0,USD,,,,,2026-05-24
해상,Busan,북미,Long Beach,2019,09,1320.0,1650.0,USD,,,,,2026-05-24
해상,Busan,북미,Long Beach,2019,08,1360.0,1700.0,USD,,,,,2026-05-24
해상,Busan,북미,Long Beach,2019,07,1320.0,1650.0,USD,,,,,2026-05-24
해상,Busan,북미,Long Beach,2019,06,1200.0,1500.0,USD,,,,,2026-05-24
해상,Busan,북미,Long Beach,2019,05,1440.0,1800.0,USD,,,,,2026-05-24
해상,Busan,북미,Long Beach,2019,04,1280.0,1600.0,USD,,,,,2026-05-24
해상,Busan,북미,Long Beach,2019,03,1280.0,1600.0,USD,,,,,2026-05-24
해상,Busan,북미,Long Beach,2019,02,1680.0,2100.0,USD,,,,,2026-05-24
해상,Busan,북미,Long Beach,2019,01,1760.0,2200.0,USD,,,,,2026-05-24
해상,Busan,북미,Long Beach,2018,12,1760.0,2200.0,USD,,,,,2026-05-24
해상,Busan,북미,Long Beach,2018,11,2160.0,2700.0,USD,,,,,2026-05-24
해상,Busan,북미,Long Beach,2018,10,1880.0,2350.0,USD,,,,,2026-05-24
해상,Busan,북미,Long Beach,2018,09,1960.0,2450.0,USD,,,,,2026-05-24
해상,Busan,북미,Long Beach,2018,08,1720.0,2150.0,USD,,,,,2026-05-24
해상,Busan,북미,Long Beach,2018,07,1320.0,1650.0,USD,,,,,2026-05-24
해상,Busan,북미,Long Beach,2018,06,1200.0,1500.0,USD,,,,,2026-05-24
해상,Busan,북미,Long Beach,2018,05,1240.0,1500.0,USD,,,,,2026-05-24
