# [해상] 출처: 한국무역협회(KITA) | 시장 평균 해상운임(Ocean Freight), 부산발 | 부대비용 별도 / 이용 선사·물동량·결제조건에 따라 상이 | 운임 업로드: 매월 첫째 주 | 단위: USD
# [항공] 출처: 한국무역협회(KITA) | 시장 평균 항공운임(Air Freight), 부산발 | 부대비용 별도 / 이용 항공사·물동량·결제조건에 따라 상이 | 공시 운임 구성: 기본 항공운임 + 유류할증료 + 터미널 화물처리비용 | 운임 업로드: 매월 첫째 주 | 단위: USD
분류,출발(도시),도착(국가),도착(도시),년,월,TEU,FEU,단위(USD-해상),100kg,300kg,500kg,단위(USD-항공),업데이트 일자
항공,Incheon,북미,Los Angeles,2025,06,,,,7550.0,7440.0,7370.0,USD,2026-05-24
항공,Incheon,북미,Los Angeles,2025,05,,,,8040.0,7960.0,7910.0,USD,2026-05-24
항공,Incheon,북미,Los Angeles,2025,04,,,,7650.0,7540.0,7510.0,USD,2026-05-24
항공,Incheon,북미,Los Angeles,2025,03,,,,7750.0,7750.0,7650.0,USD,2026-05-24
항공,Incheon,북미,Los Angeles,2025,01,,,,6620.0,6120.0,6120.0,USD,2026-05-24
항공,Incheon,북미,Los Angeles,2024,12,,,,8240.0,8123.0,8198.0,USD,2026-05-24
항공,Incheon,북미,Los Angeles,2024,11,,,,7820.0,7820.0,7820.0,USD,2026-05-24
항공,Incheon,북미,Los Angeles,2024,10,,,,8570.0,8070.0,8070.0,USD,2026-05-24
항공,Incheon,북미,Los Angeles,2024,09,,,,6640.0,6540.0,6340.0,USD,2026-05-24
항공,Incheon,북미,Los Angeles,2024,08,,,,6770.0,6670.0,6470.0,USD,2026-05-24
항공,Incheon,북미,Los Angeles,2024,07,,,,7270.0,6970.0,6770.0,USD,2026-05-24
항공,Incheon,북미,Los Angeles,2024,06,,,,,6540.0,6340.0,USD,2026-05-24
항공,Incheon,북미,Los Angeles,2024,05,,,,6840.0,6540.0,6340.0,USD,2026-05-24
항공,Incheon,북미,Los Angeles,2024,04,,,,,7040.0,6840.0,USD,2026-05-24
항공,Incheon,북미,Los Angeles,2024,03,,,,,7750.0,7700.0,USD,2026-05-24
항공,Incheon,북미,Los Angeles,2024,02,,,,,7750.0,7700.0,USD,2026-05-24
항공,Incheon,북미,Los Angeles,2024,01,,,,0.0,8410.0,8210.0,USD,2026-05-24
항공,Incheon,북미,Los Angeles,2023,12,,,,,7000.0,7000.0,USD,2026-05-24
항공,Incheon,북미,Los Angeles,2023,11,,,,7040.0,7040.0,7040.0,USD,2026-05-24
항공,Incheon,북미,Los Angeles,2020,10,,,,10000.0,10000.0,10000.0,USD,2026-05-24
항공,Incheon,북미,Los Angeles,2020,09,,,,6600.0,6600.0,6600.0,USD,2026-05-24
항공,Incheon,북미,Los Angeles,2020,03,,,,0.0,0.0,0.0,USD,2026-05-24
항공,Incheon,북미,Los Angeles,2020,02,,,,3100.0,3000.0,2900.0,USD,2026-05-24
항공,Incheon,북미,Los Angeles,2020,01,,,,3400.0,3300.0,3200.0,USD,2026-05-24
항공,Incheon,북미,Los Angeles,2019,12,,,,3600.0,3500.0,3400.0,USD,2026-05-24
항공,Incheon,북미,Los Angeles,2019,11,,,,3800.0,3700.0,3600.0,USD,2026-05-24
항공,Incheon,북미,Los Angeles,2019,10,,,,2800.0,2700.0,2600.0,USD,2026-05-24
항공,Incheon,북미,Los Angeles,2019,09,,,,3100.0,3000.0,2900.0,USD,2026-05-24
항공,Incheon,북미,Los Angeles,2019,08,,,,2700.0,2600.0,2500.0,USD,2026-05-24
